Test ID,Observer,Relation,Aggression,Tolerance,Season
1,Charles,Same,4,4,Early
2,Tyler,Same,1,34,Early
3,Michelle,Same,15,14,Early
4,Tyler,Same,2,31,Early
5,Charles,Same,1,4,Early
6,Rhyan,Same,0,13,Early
7,Michelle,Same,2,7,Early
8,Michelle,Same,0,6,Early
9,Charles,Same,3,13,Early
10,Michelle,Same,10,15,Early
11,Charles,Same,2,5,Early
12,Tyler,Same,7,13,Early
13,Michelle,Same,2,19,Early
14,Charles,Same,2,7,Early
15,Tyler,Same,0,23,Early
1,Charles,Stranger,3,6,Early
1,Charles,Stranger,4,13,Early
2,Tyler,Stranger,8,26,Early
2,Tyler,Stranger,8,26,Early
3,Michelle,Stranger,6,10,Early
3,Michelle,Stranger,16,6,Early
4,Tyler,Stranger,80,9,Early
4,Tyler,Stranger,3,13,Early
5,Charles,Stranger,1,5,Early
5,Charles,Stranger,3,20,Early
6,Rhyan,Stranger,4,33,Early
6,Rhyan,Stranger,15,82,Early
7,Michelle,Stranger,0,13,Early
7,Michelle,Stranger,3,8,Early
8,Michelle,Stranger,1,12,Early
8,Michelle,Stranger,0,3,Early
9,Charles,Stranger,2,7,Early
9,Charles,Stranger,2,14,Early
10,Michelle,Stranger,9,4,Early
10,Michelle,Stranger,11,12,Early
11,Charles,Stranger,8,11,Early
11,Charles,Stranger,9,6,Early
12,Tyler,Stranger,24,64,Early
12,Tyler,Stranger,15,26,Early
13,Michelle,Stranger,5,12,Early
13,Michelle,Stranger,1,14,Early
14,Charles,Stranger,3,14,Early
14,Charles,Stranger,2,14,Early
15,Tyler,Stranger,3,52,Early
15,Tyler,Stranger,4,38,Early
16,Charles,Same,0,0,Late
17,Charles,Same,0,0,Late
18,Michelle,Same,0,0,Late
19,Michelle,Same,0,2,Late
20,Tyler,Same,1,12,Late
21,Michelle,Same,0,4,Late
22,Charles,Same,0,1,Late
23,Tyler,Same,1,17,Late
24,Michelle,Same,0,0,Late
25,Charles,Same,0,2,Late
26,Tyler,Same,4,5,Late
27,Charles,Same,1,5,Late
28,Tyler,Same,6,74,Late
16,Charles,Stranger,1,6,Late
16,Charles,Stranger,3,4,Late
17,Charles,Stranger,2,11,Late
17,Charles,Stranger,1,1,Late
18,Michelle,Stranger,0,1,Late
18,Michelle,Stranger,0,0,Late
19,Michelle,Stranger,2,7,Late
19,Michelle,Stranger,3,1,Late
20,Tyler,Stranger,0,28,Late
20,Tyler,Stranger,1,15,Late
21,Michelle,Stranger,0,6,Late
21,Michelle,Stranger,0,3,Late
22,Charles,Stranger,0,0,Late
22,Charles,Stranger,0,0,Late
23,Tyler,Stranger,2,17,Late
23,Tyler,Stranger,0,1,Late
24,Michelle,Stranger,0,0,Late
24,Michelle,Stranger,0,1,Late
25,Charles,Stranger,0,0,Late
25,Charles,Stranger,0,3,Late
26,Tyler,Stranger,3,20,Late
26,Tyler,Stranger,4,15,Late
27,Charles,Stranger,0,2,Late
27,Charles,Stranger,2,6,Late
28,Tyler,Stranger,0,26,Late
28,Tyler,Stranger,8,53,Late